TCGA-51-4079-11A-01-TS1	Normal
TCGA-51-4079-11A-01-BS1	Normal
TCGA-22-5485-01A-01-TS1	Tumor
TCGA-63-A5MI-01A-01-TS1	Tumor
TCGA-33-AASB-01A-01-TSA	Tumor
TCGA-21-1076-01A-02-BS2	Tumor
TCGA-21-1076-01A-01-TS1	Tumor
TCGA-39-5037-11A-01-TS1	Normal
TCGA-70-6723-01A-01-BS1	Tumor
TCGA-77-7338-01A-01-BS1	Tumor
TCGA-NK-A7XE-01A-01-TS1	Tumor
TCGA-22-4605-11A-01-BS1	Normal
TCGA-77-8138-01A-01-TS1	Tumor
TCGA-66-2744-01A-01-TS1	Tumor
TCGA-21-1083-01A-01-BS1	Tumor
TCGA-56-8629-11A-01-TS1	Normal
TCGA-56-8629-01A-01-TS1	Tumor
TCGA-34-2609-11A-01-BS1	Normal
TCGA-21-1083-01A-01-TS1	Tumor
TCGA-60-2711-11A-01-TS1	Normal
TCGA-60-2711-01A-01-BS1	Tumor
TCGA-60-2708-01A-01-TS1	Tumor
TCGA-60-2708-11A-01-TS1	Normal
TCGA-37-4135-01A-01-TS1	Tumor
TCGA-63-7020-01A-01-TS1	Tumor
TCGA-51-6867-01A-01-TS1	Tumor
TCGA-51-6867-01A-01-BS1	Tumor
TCGA-37-A5EM-01A-02-TS2	Tumor
TCGA-79-5596-01A-02-BS2	Tumor
TCGA-60-2697-01A-01-BS1	Tumor
TCGA-66-2756-11A-01-BS1	Normal
TCGA-39-5024-11A-01-TS1	Normal
TCGA-66-2756-11A-01-TS1	Normal
TCGA-60-2726-11A-01-TS1	Normal
TCGA-66-2765-01A-01-TS1	Tumor
TCGA-77-8008-11A-01-TS1	Normal
TCGA-66-2765-11A-01-TS1	Normal
TCGA-85-6561-01A-01-TS1	Tumor
TCGA-34-2608-11A-01-TS1	Normal
TCGA-34-2608-01A-01-BS1	Tumor
TCGA-22-4609-01A-01-BS1	Tumor
TCGA-96-8170-01A-01-TS1	Tumor
TCGA-18-4086-01A-01-TS1	Tumor
TCGA-66-2800-01A-01-TS1	Tumor
TCGA-33-4589-01A-01-TS1	Tumor
TCGA-33-4589-01A-01-BS1	Tumor
TCGA-66-2763-01A-01-BS1	Tumor
TCGA-77-7338-01A-01-TS1	Tumor
TCGA-77-7338-11A-01-TS1	Normal
TCGA-NK-A5CR-01A-01-TSA	Tumor
TCGA-92-7341-01A-02-BS2	Tumor
TCGA-92-7341-11A-01-TS1	Normal
TCGA-21-1070-01A-01-BS1	Tumor
TCGA-66-2777-11A-01-TS1	Normal
TCGA-66-2777-11A-01-BS1	Normal
TCGA-56-A5DR-01A-01-TS1	Tumor
TCGA-34-2609-01A-01-TS1	Tumor
TCGA-21-1081-01A-01-TS1	Tumor
TCGA-39-5016-01A-01-BS1	Tumor
TCGA-22-4613-01A-01-TS1	Tumor
TCGA-22-1017-01A-01-TS1	Tumor
TCGA-85-A4JB-01A-05-TSE	Tumor
TCGA-60-2708-01A-01-BS1	Tumor
TCGA-60-2708-11A-01-BS1	Normal
TCGA-37-4133-01A-01-BS1	Tumor
TCGA-37-4133-01A-01-TS1	Tumor
TCGA-56-8624-11A-01-TS1	Normal
TCGA-94-8035-01A-01-TS1	Tumor
TCGA-56-8624-01A-01-TS1	Tumor
TCGA-63-7020-01A-01-BS1	Tumor
TCGA-77-7142-01A-01-BS1	Tumor
TCGA-51-4079-01A-01-BS1	Tumor
TCGA-18-4721-11A-01-BS1	Normal
TCGA-33-4582-11A-01-BS1	Normal
TCGA-85-7699-01A-01-TS1	Tumor
TCGA-66-2734-11A-01-BS1	Normal
TCGA-90-6837-11A-01-TS1	Normal
TCGA-58-8393-01A-01-TS1	Tumor
TCGA-66-2771-11A-01-TS1	Normal
TCGA-51-4081-01A-01-TS1	Tumor
TCGA-34-5236-01A-02-BS2	Tumor
TCGA-51-4081-11A-01-TS1	Normal
TCGA-60-2726-01A-01-TS1	Tumor
TCGA-63-7023-01A-01-BS1	Tumor
TCGA-66-2765-11A-01-BS1	Normal
TCGA-33-4587-01A-01-BS1	Tumor
TCGA-94-A5I4-01A-01-TS1	Tumor
TCGA-77-8153-01A-01-TS1	Tumor
TCGA-33-4547-11A-01-TS1	Normal
TCGA-43-6647-11A-01-TS1	Normal
TCGA-60-2720-11A-01-BS1	Normal
TCGA-22-4609-11A-01-TS1	Normal
TCGA-18-3407-01A-01-BS1	Tumor
TCGA-34-A5IX-01A-01-TSA	Tumor
TCGA-18-4086-01A-01-BS1	Tumor
TCGA-22-5492-01A-01-TS1	Tumor
TCGA-68-7755-01A-01-TS1	Tumor
TCGA-37-3792-01A-01-BS1	Tumor
TCGA-37-4141-01A-02-BS2	Tumor
TCGA-22-5491-01A-01-TS1	Tumor
TCGA-60-2707-01A-01-TS1	Tumor
TCGA-60-2707-11A-01-TS1	Normal
TCGA-21-5784-01A-01-TS1	Tumor
TCGA-94-8490-01A-01-TS1	Tumor
TCGA-66-2773-11A-01-BS1	Normal
TCGA-43-5670-11A-01-TS1	Normal
TCGA-18-3407-11A-01-BS1	Normal
TCGA-90-7769-01A-01-TS1	Tumor
TCGA-18-3416-01A-01-BS1	Tumor
TCGA-33-4532-11A-01-BS1	Normal
TCGA-33-4532-01A-01-TS1	Tumor
TCGA-33-4532-11A-01-TS1	Normal
TCGA-58-8390-01A-01-TS1	Tumor
TCGA-60-2716-01A-01-TS1	Tumor
TCGA-85-6560-01A-01-TS1	Tumor
TCGA-52-7812-01A-01-TS1	Tumor
TCGA-58-8387-01A-01-TS1	Tumor
TCGA-52-7812-01A-01-BS1	Tumor
TCGA-60-2716-01A-01-BS1	Tumor
TCGA-60-2722-01A-01-BS1	Tumor
TCGA-85-7844-01A-01-TS1	Tumor
TCGA-60-2723-01A-01-TS1	Tumor
TCGA-77-A5GB-01B-01-TS1	Tumor
TCGA-43-8115-11A-01-TS1	Normal
TCGA-43-2576-01A-01-BS1	Tumor
TCGA-21-1082-01A-01-BS1	Tumor
